Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_quadrat[quadrat_003,Intercept]",0.02,0.95,-0.24,0.34,1.001,7344.00,14470.00
"r_quadrat[quadrat_004,Intercept]",-0.05,0.95,-0.33,0.18,1.000,7332.00,11366.00
"r_quadrat[quadrat_009,Intercept]",0.03,0.95,-0.25,0.36,1.001,6829.00,16549.00
"r_quadrat[quadrat_010,Intercept]",-0.03,0.95,-0.34,0.26,1.001,7483.00,17760.00
"r_quadrat[quadrat_016,Intercept]",-0.04,0.95,-0.37,0.23,1.002,6808.00,11795.00
"r_quadrat[quadrat_020,Intercept]",-0.00,0.95,-0.29,0.25,1.001,7598.00,15482.00
"r_quadrat[quadrat_024,Intercept]",-0.07,0.95,-0.36,0.18,1.001,7643.00,7950.00
"r_quadrat[quadrat_025,Intercept]",0.14,0.95,-0.08,0.43,1.002,7355.00,3136.00
"r_quadrat[quadrat_027,Intercept]",0.06,0.95,-0.21,0.37,1.001,7103.00,10101.00
"r_quadrat[quadrat_039,Intercept]",-0.06,0.95,-0.38,0.22,1.001,7390.00,10181.00
"r_quadrat[quadrat_040,Intercept]",0.00,0.95,-0.25,0.25,1.001,7680.00,13498.00
"r_quadrat[quadrat_043,Intercept]",0.02,0.95,-0.27,0.33,1.001,6539.00,18973.00
"r_quadrat[quadrat_044,Intercept]",-0.13,0.95,-0.48,0.11,1.001,7421.00,3878.00
"r_quadrat[quadrat_045,Intercept]",-0.01,0.95,-0.27,0.24,1.001,6759.00,13293.00
"r_quadrat[quadrat_046,Intercept]",-0.01,0.95,-0.32,0.28,1.001,6744.00,21751.00
"r_quadrat[quadrat_048,Intercept]",-0.05,0.95,-0.37,0.24,1.000,7398.00,12424.00
"r_quadrat[quadrat_049,Intercept]",0.09,0.95,-0.14,0.40,1.001,7626.00,5305.00
"r_quadrat[quadrat_050,Intercept]",-0.01,0.95,-0.28,0.26,1.001,7827.00,16112.00
"r_quadrat[quadrat_051,Intercept]",-0.02,0.95,-0.33,0.26,1.001,6816.00,18729.00
"r_quadrat[quadrat_056,Intercept]",0.06,0.95,-0.22,0.39,1.001,7582.00,9881.00
"r_quadrat[quadrat_059,Intercept]",0.20,0.95,-0.04,0.50,1.002,6505.00,2065.00
"r_quadrat[quadrat_060,Intercept]",-0.07,0.95,-0.41,0.19,1.001,7017.00,8303.00
